TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,OPP_FGM,OPP_FGA,OPP_FG_PCT,OPP_FG3M,OPP_FG3A,OPP_FG3_PCT,OPP_FTM,OPP_FTA,OPP_FT_PCT,OPP_OREB,OPP_DREB,OPP_REB,OPP_AST,OPP_TOV,OPP_STL,OPP_BLK,OPP_BLKA,OPP_PF,OPP_PFD,OPP_PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OPP_FGM_RANK,OPP_FGA_RANK,OPP_FG_PCT_RANK,OPP_FG3M_RANK,OPP_FG3A_RANK,OPP_FG3_PCT_RANK,OPP_FTM_RANK,OPP_FTA_RANK,OPP_FT_PCT_RANK,OPP_OREB_RANK,OPP_DREB_RANK,OPP_REB_RANK,OPP_AST_RANK,OPP_TOV_RANK,OPP_STL_RANK,OPP_BLK_RANK,OPP_BLKA_RANK,OPP_PF_RANK,OPP_PFD_RANK,OPP_PTS_RANK,PLUS_MINUS_RANK
1610612737,Atlanta Hawks,56,26,30,0.464,48.2,43.1,90.6,0.476,13.4,37.3,0.358,19,23.8,0.798,11.9,35,46.8,27.3,15.9,8.8,5,4.7,18.3,19.9,118.6,1.3,1,18,20,20,25,24,22,21,17,18,14,19,18,25,22,28,26,22,6,20,18,17,3,17,25,19
1610612738,Boston Celtics,54,35,19,0.648,48.2,38.4,86.6,0.444,14,38.7,0.36,17.5,22.3,0.788,11.4,30.8,42.2,25,13.3,6,4.2,5.3,18.5,19.9,108.4,-6.9,18,4,4,4,21,3,5,3,24,24,17,8,8,19,12,6,7,7,26,1,5,8,4,18,2,3
1610612751,Brooklyn Nets,53,15,38,0.283,48.3,42.2,85.7,0.493,12.4,33.1,0.375,18.1,23.1,0.784,10,32.6,42.6,27.3,13.8,9,5,4.2,19.8,20.2,114.9,7.3,24,26,25,26,9,17,3,29,6,2,29,13,13,16,1,15,8,23,19,24,18,23,12,13,13,26
1610612766,Charlotte Hornets,55,26,29,0.473,48.3,42.1,89.2,0.472,13,35.7,0.365,16.5,20.6,0.801,10.2,29.2,39.5,27.1,12.5,8.6,4.6,4.5,20.4,19.1,113.8,-1.9,9,18,18,19,13,16,16,19,13,9,22,1,1,29,3,2,1,20,29,17,10,20,19,22,11,11
1610612741,Chicago Bulls,55,24,31,0.436,48.2,44.5,92.9,0.479,14,37.3,0.376,17.7,22.9,0.772,10.9,34,44.9,28.5,12.6,8.7,5.4,5,18.6,18.7,120.6,3.8,9,21,22,21,22,29,28,24,25,19,30,9,12,4,7,25,21,28,28,18,25,12,5,27,27,24
1610612739,Cleveland Cavaliers,55,34,21,0.618,48.2,41.5,89.6,0.463,13.9,37.4,0.372,19,23.8,0.799,11.6,32.4,44,26.7,15.9,8.8,4.4,5.2,20.2,20,115.9,-4.1,9,7,8,8,22,12,18,10,23,20,28,18,17,26,18,13,16,14,5,21,8,9,15,16,17,8
1610612742,Dallas Mavericks,54,19,35,0.352,48.5,43.9,94.2,0.467,12.1,35.9,0.338,17.4,22.3,0.78,12.4,34.7,47.1,27.3,13.5,8.9,5.1,5.5,21,18.5,117.4,3.5,18,24,24,24,5,26,30,13,3,10,1,7,9,10,28,27,28,21,25,22,20,7,25,30,21,23
1610612743,Denver Nuggets,55,35,20,0.636,48.5,42.4,90.7,0.468,13.3,37.9,0.352,18.2,23.4,0.777,11.8,30.9,42.7,26.7,11.9,7.6,4.6,4.1,21.7,19,116.3,-4,9,4,5,5,3,18,23,14,16,21,8,14,14,8,20,7,9,13,30,6,12,25,27,23,19,9
1610612765,Detroit Pistons,53,40,13,0.755,48.2,37.2,84.5,0.441,12.6,36.3,0.347,22.2,27.9,0.796,11.5,29.7,41.2,22.9,17.4,9.1,5.6,6.3,21.9,22.4,109.3,-8,24,2,1,1,18,1,1,2,9,12,5,30,30,22,13,3,4,1,1,26,26,1,28,1,3,2
1610612744,Golden State Warriors,55,29,26,0.527,48.2,41.7,88.5,0.472,12.5,35.6,0.352,17.7,22.2,0.798,11.6,33.1,44.7,26.8,16.1,8.6,4.1,4.4,18.8,19.9,113.7,-1.8,9,14,15,15,22,13,13,18,7,7,9,10,5,24,17,19,18,15,4,16,3,22,7,20,10,12
