TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
1610612737,Atlanta Hawks,56,26,30,0.464,48.2,43.3,91.6,0.472,14.5,39.2,0.37,16.3,21.1,0.774,10.1,32.1,42.2,30.5,14.3,9.3,4.7,5,19.9,18.3,117.3,-1.3,1,18,20,20,25,3,3,11,9,10,7,27,27,19,24,18,25,1,12,5,17,18,14,28,9,19
1610612738,Boston Celtics,54,35,19,0.648,48.2,42.6,91.4,0.467,15.4,42.4,0.363,14.6,18.4,0.791,12.8,32.6,45.4,23.9,12.1,7.6,5.3,4.2,19.9,18.5,115.3,6.9,18,4,4,4,21,9,4,17,3,2,11,29,30,11,6,12,8,29,1,23,8,5,13,27,18,3
1610612751,Brooklyn Nets,53,15,38,0.283,48.3,37.9,85.1,0.446,13.7,39.9,0.344,18.1,23.3,0.774,11.1,29.6,40.7,25.4,15.6,7.6,4.2,5,20.2,19.8,107.7,-7.3,24,26,25,26,9,30,28,30,13,8,26,19,17,20,19,30,29,19,25,24,23,18,18,19,30,26
1610612766,Charlotte Hornets,55,26,29,0.473,48.3,40.8,88.8,0.46,15.4,41.4,0.373,18.6,22.7,0.821,12.4,33.6,46,26.4,15.9,6.7,4.5,4.6,19.1,20.4,115.7,1.9,9,18,18,19,13,27,22,25,2,4,5,16,22,2,7,6,6,15,29,30,20,10,9,12,15,11
1610612741,Chicago Bulls,55,24,31,0.436,48.2,42.6,90.4,0.471,14.7,40,0.367,17,21.5,0.789,10.2,34.4,44.7,29.2,14.5,7.5,5,5.4,18.7,18.6,116.8,-3.8,9,21,22,21,22,10,10,14,7,7,8,25,25,13,23,4,12,4,16,26,12,25,4,26,11,24
1610612739,Cleveland Cavaliers,55,34,21,0.618,48.2,43.6,91.6,0.476,14.7,41.1,0.358,18,23,0.784,12.2,32.4,44.6,28.6,14.5,9,5.2,4.4,20,20.1,120,4.1,9,7,8,8,22,1,2,9,6,5,15,20,20,17,9,16,13,7,13,8,9,8,15,17,2,8
1610612742,Dallas Mavericks,54,19,35,0.352,48.5,42.1,89.5,0.471,10.9,31.7,0.342,18.9,25.3,0.747,10,34.7,44.7,25.1,14.7,7.6,5.5,5.1,18.5,21,113.9,-3.5,18,24,24,24,5,15,16,15,29,28,30,14,10,28,25,3,11,22,18,25,7,20,1,6,22,23
1610612743,Denver Nuggets,55,35,20,0.636,48.5,42.8,86.6,0.495,13.7,34.7,0.395,21,25.9,0.81,9.6,33.1,42.7,28,12.7,6.9,4.1,4.6,19,21.7,120.4,4,9,4,5,5,3,7,26,2,12,21,1,2,4,5,27,10,22,9,3,29,25,12,8,4,1,9
1610612765,Detroit Pistons,53,40,13,0.755,48.2,42.9,89.5,0.48,11.1,31.8,0.349,20.3,26.8,0.755,13.1,32.5,45.6,26.6,15.3,10.6,6.3,5.6,22.4,21.9,117.2,8,24,2,1,1,18,6,15,6,28,27,21,7,3,26,4,13,7,11,23,1,1,26,30,3,10,2
1610612744,Golden State Warriors,55,29,26,0.527,48.2,40.9,88.8,0.461,16.3,45.1,0.362,17.4,21.5,0.809,10.9,31.6,42.5,28.9,15.6,10,4.4,4.1,19.9,18.8,115.5,1.8,9,14,15,15,22,26,23,22,1,1,12,24,26,6,21,22,24,5,26,3,22,3,11,24,16,12
1610612745,Houston Rockets,53,33,20,0.623,48.7,42.5,90.2,0.471,11.3,30.6,0.37,18.3,24.3,0.755,15.8,32.8,48.6,24.7,15.4,8.8,5.8,4.8,18.6,20.4,114.6,5,24,9,5,7,2,12,12,13,26,29,6,17,14,27,1,11,1,28,24,9,3,16,2,14,20,6
1610612754,Indiana Pacers,55,15,40,0.273,48.3,40.2,89.4,0.449,12.7,36.7,0.347,18.1,23.6,0.767,10.3,32.3,42.7,26.1,14.2,7.4,4.8,4.7,21.9,20.7,111.1,-7.5,9,26,28,27,13,28,17,29,20,18,23,18,16,25,22,17,23,17,11,27,16,13,28,10,28,27
1610612746,LA Clippers,54,26,28,0.481,48.3,39.4,82.5,0.478,12.7,34.7,0.365,20.4,24.5,0.832,9.5,31.1,40.6,23.5,15.1,8.6,4.7,4.8,18.7,19.7,111.9,-0.4,18,18,17,18,12,29,30,7,22,22,9,6,13,1,28,27,30,30,21,13,18,15,3,20,26,18
1610612747,Los Angeles Lakers,54,33,21,0.611,48,41.8,83.6,0.5,11.7,33.5,0.35,20.7,26.9,0.769,9.7,31.4,41.1,25.3,15.1,8.2,4,3.5,18.9,21.3,116,0,18,9,8,9,30,17,29,1,23,24,20,4,2,24,26,24,28,20,20,17,28,1,5,5,14,16
1610612763,Memphis Grizzlies,53,20,33,0.377,48.2,41.6,90.8,0.458,13.5,38.4,0.351,18.6,23.3,0.797,11.7,33.3,45,28.7,15.2,8.2,5,4.9,20.1,20.2,115.3,-2.2,24,23,23,23,18,18,7,26,15,11,18,15,17,9,14,8,9,6,22,16,13,17,16,15,17,21
1610612748,Miami Heat,56,29,27,0.518,48.1,43.3,93.9,0.461,13.4,37.3,0.36,19.5,24.8,0.787,12,34.8,46.9,28.6,14.2,9.2,4.2,5.3,18.9,20.2,119.6,2.4,1,14,16,16,29,2,1,21,16,15,14,11,12,14,11,2,2,8,10,6,24,22,6,16,5,10
1610612749,Milwaukee Bucks,53,23,30,0.434,48.3,41.3,85.9,0.481,14.7,37.5,0.392,14.5,19.7,0.737,8.7,32.5,41.2,26.1,14.5,7.4,4.1,4.2,20.1,18.1,111.8,-3.4,24,22,20,22,9,22,27,5,5,13,2,30,29,30,30,15,27,16,15,28,26,4,17,29,27,22
1610612750,Minnesota Timberwolves,56,34,22,0.607,48.3,43.1,89.1,0.484,14.3,38,0.375,19.2,25.8,0.746,11.4,33.4,44.8,26.5,14.5,8.8,5.7,3.9,21.3,20.9,119.7,4.9,1,7,10,10,16,5,20,4,11,12,4,13,6,29,16,7,10,13,14,11,6,2,26,8,4,7
1610612740,New Orleans Pelicans,56,15,41,0.268,48.4,42,90.9,0.462,11.2,32.4,0.345,19.4,24.8,0.785,12.3,31.3,43.6,25,14.1,8.8,4.7,5.9,19.9,20.1,114.6,-5.8,1,26,29,28,7,16,5,20,27,26,24,12,11,15,8,25,16,23,9,10,19,28,12,18,21,25
1610612752,New York Knicks,55,35,20,0.636,48.3,42.8,90.7,0.472,15,39.8,0.378,17.4,22.1,0.79,13.2,33.2,46.3,27.2,13.6,8,4.1,4.6,20.4,19.5,118,6.2,9,4,5,5,13,8,8,12,4,9,3,23,23,12,3,9,4,10,4,20,27,10,22,22,8,4
1610612760,Oklahoma City Thunder,56,42,14,0.75,48.4,43.3,88.8,0.487,13.5,37.2,0.362,19.7,24,0.821,9.3,34.3,43.7,25.5,12.5,9.8,5.7,4.3,19.4,21,119.7,11.7,1,1,2,2,6,3,21,3,14,16,13,9,15,3,29,5,15,18,2,4,4,7,10,7,3,1
1610612753,Orlando Magic,53,28,25,0.528,48.3,40.9,88.5,0.462,11.5,33.7,0.342,21.6,27,0.8,11.2,32.1,43.3,26.4,13.9,8.7,5.2,5.3,21,21.9,115.1,-0.2,24,16,14,14,9,25,25,19,24,23,27,1,1,7,18,19,19,14,7,12,10,24,24,2,19,17
1610612755,Philadelphia 76ers,54,30,24,0.556,48.7,41.3,89.9,0.46,12.7,35.7,0.356,20.8,25.5,0.816,12.1,31.1,43.3,24.7,13.9,9.1,5.7,5.1,20.3,20.4,116.2,0.3,18,13,13,13,1,20,14,24,21,20,16,3,9,4,10,26,18,26,6,7,5,20,20,13,13,15
1610612756,Phoenix Suns,55,32,23,0.582,48.1,41.4,89.9,0.46,14.6,40.2,0.364,16.3,20.5,0.793,12.9,30.2,43.1,25,15,10.1,4,4.3,21.3,18.9,113.6,1.8,9,11,11,11,28,19,13,23,8,6,10,28,28,10,5,29,20,24,19,2,29,6,27,23,24,13
1610612757,Portland Trail Blazers,56,27,29,0.482,48.2,41.1,90.8,0.452,14.5,42.4,0.342,19.7,25.5,0.773,14.3,31.8,46,24.7,17.3,8,4.9,6.1,20.4,21.9,116.3,-2,1,17,18,17,25,23,6,28,9,3,29,10,7,22,2,20,5,27,30,19,15,30,21,1,12,20
1610612758,Sacramento Kings,56,12,44,0.214,48.3,40.9,88.6,0.462,10.4,30.3,0.342,17.9,23.1,0.773,11,30.3,41.3,24.9,14.5,8.3,4.5,4.7,20.2,18.8,110.1,-10.5,1,30,30,30,16,24,24,18,30,30,28,21,19,21,20,28,26,25,17,15,21,14,19,25,29,29
1610612759,San Antonio Spurs,54,38,16,0.704,48.1,42.6,89.3,0.477,13,37.4,0.347,20,25.5,0.784,11.4,35.2,46.6,26.6,13.7,7.7,5.1,4.5,19,20.9,118.1,6,18,3,3,3,27,11,19,8,17,14,22,8,8,16,17,1,3,12,5,22,11,9,7,9,7,5
